,S5,GL3,S2,LC4.1
0,4,4,4,4
1,4,3,3,1
2,4,4,4,4
3,4,4,4,4
4,4,3,3,3
5,4,3,3,2
6,4,3,3,4
7,3,3,3,4
8,3,3,3,4
9,4,4,4,4
10,3,3,3,3
11,4,4,4,4
12,4,4,4,4
13,3,3,4,4
14,3,3,3,4
15,3,3,3,4
16,3,3,3,3
17,3,3,2,2
18,4,4,4,3
19,3,3,3,4
20,4,3,3,4
21,3,4,4,4
22,3,3,3,4
23,4,4,4,3
24,4,4,4,4
25,4,4,4,3
26,4,4,4,3
27,4,4,4,3
28,0,0,0,1
29,3,4,3,1
30,0,0,0,0
31,2,2,2,1
32,4,4,4,0
33,4,4,4,1
34,2,2,3,1
35,2,1,1,1
36,1,2,1,1
37,3,2,2,2
38,2,4,4,0
39,2,1,2,2
40,1,1,1,0
41,1,1,1,2
42,1,2,2,0
43,1,2,2,2
44,2,1,1,2
45,1,0,0,3
46,1,0,0,1
47,0,0,0,0
48,1,1,1,3
49,0,1,1,2
50,2,3,2,0
51,1,1,2,0
52,1,1,1,1
53,1,2,2,1
54,0,2,3,0
55,0,0,0,1
56,0,1,1,3
57,2,2,2,2
58,2,4,4,1
59,2,1,1,0
60,1,1,1,0
61,2,1,1,1
62,2,2,2,2
63,0,2,3,0
64,0,0,0,3
65,3,0,0,2
66,0,1,2,3
67,1,1,1,0
68,0,1,1,2
69,3,0,0,1
70,2,2,1,0
71,3,3,2,0
72,0,2,1,2
73,2,4,4,0
74,1,0,0,0
75,0,0,0,1
76,0,2,2,3
77,0,0,0,3
78,0,0,0,1
79,0,0,0,3
80,2,2,1,4
81,0,0,0,0
82,0,1,2,3
83,2,2,2,3
84,3,1,1,0
85,1,2,2,2
86,2,0,0,4
87,3,3,3,2
88,1,0,0,2
89,1,0,0,2
90,2,0,0,2
91,1,2,2,1
