,pssm181,pssm24,pssm391
0,0,0,0
1,1,0,0
2,0,1,0
3,0,0,0
4,1,1,1
5,1,0,1
6,0,0,0
7,0,0,0
8,1,0,1
9,0,0,0
10,0,0,1
11,0,0,0
12,1,0,0
13,1,0,0
14,0,0,0
15,1,1,1
16,1,1,1
17,0,1,0
18,0,0,0
19,0,1,1
20,0,1,1
21,1,1,1
22,0,1,1
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,4,3,4
29,2,2,1
30,2,2,3
31,2,3,3
32,1,1,0
33,1,2,2
34,2,2,2
35,3,2,2
36,4,4,4
37,1,2,2
38,3,3,4
39,2,3,3
40,2,1,2
41,3,3,3
42,3,3,3
43,4,4,4
44,3,2,1
45,4,4,2
46,3,2,3
47,4,4,4
48,2,3,3
49,4,4,4
50,3,1,3
51,2,3,2
52,2,3,2
53,4,4,4
54,4,4,4
55,3,4,3
56,4,4,4
57,3,2,2
58,3,3,3
59,2,3,2
60,3,4,3
61,2,2,2
62,2,3,3
63,4,4,4
64,4,4,4
65,1,2,1
66,4,4,4
67,2,2,3
68,4,4,4
69,1,2,1
70,2,3,3
71,3,2,3
72,4,4,4
73,3,3,3
74,3,4,3
75,2,2,2
76,4,4,4
77,4,3,4
78,3,2,2
79,4,3,4
80,2,1,2
81,4,4,4
82,4,4,4
83,1,1,2
84,1,1,1
85,3,3,3
86,3,1,2
87,2,2,1
88,3,2,2
89,1,0,1
90,1,1,1
91,2,3,2
